id,image,nom,prenom,email,genre,telephone,id_promotion,id_referentiel,nom_referentiel,action
1,img1.png,serigne,thiam,serigne@gmail.com,M,777777777,1,1,dev_web,
2,img1.png,seydina,mhd,moussa,M,777777777,1,1,dev_web,
3,img1.png,pathe,pathe,pathe,M,777120777,1,1,dev_web,1
4,img1.png,modou,modou,modou,M,777347977,1,2,dev_data,
5,img1.png,andaw,andaw,andaw,M,777729777,5,2,dev_data,1
6,img1.png,issa,issa,issa,M,777987777,5,2,aws,
7,img1.png,modou,ndiaye,modou@gmail?com,M,777864799,6,6,aws,
8,img1.png,modou,ndiaye,modou@gmail?com,M,777573799,6,6,aws,1
9,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,6,6,ref_dig,
10,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,5,4,ref_dig,
11,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,1,4,ref_dig,1
12,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,1,5,ref_dig,
13,img1.png,modou,ndiaye,modou@gmail?com,M,772387799,6,5,ref_dig,
14,img1.png,Daouda,Diop,modou@gmail?com,M,772387799,1,1,hackeuse,
15,img1.png,Awa,ndiaye,awa@gmail?com,F,772387799,5,2,aws,1
16,img1.png,Diuma,ndiaye,diou@gmail?com,F,772387799,5,2,dev_web,1
17,img1.png,omar,ndiaye,omaru@gmail?com,M,772387799,5,3,dev_web,1
19,img1.png,abou,sy,abou@gmail?com,M,772387799,1,3,dev_data,
20,img1.png,saliou,diouf,sdiouf@gmail?com,M,772387799,1,2,dev_web,
